佳臻, ,
1,四寶飯,120
2,三寶飯,105
3,鴨腿飯,115
4,燒鴨飯,95
5,油雞全腿飯,110
6,油雞腿飯,90
7,油雞飯,85
8,雞鴨飯,100
9,蜜汁叉燒飯,90
10,叉雞飯,100
11,叉鴨飯,100
12,脆皮燒肉飯,95
13,燒肉鴨飯,105
14,燒肉雞飯,100
15,燒肉叉飯,100
16,臘腸飯,85
17,肝腸飯,85
18,肝臘腸飯,90
19,合菜飯,55
20,拼盤大,460
21,拼盤中,360
22,拼盤小,260
